,SMILES
211,N=C(/N=C(/N)NP(=O)(O)O)NCc1ccccc1
212,CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1
213,O=c1[nH]c2cc(C(F)(F)F)c(N3CCOCC3)cc2n(CP(=O)(O)O)c1=O
214,O=C(NCc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O
215,NCCCNc1ccc2c3c(nn2CCNCCO)-c2c(O)ccc(O)c2C(=O)c13
216,CCOC(=O)c1ncn2c1CN(C)C(=O)c1c(Cl)cccc1-2
217,CC1OCC(Br)([N+](=O)[O-])CO1
218,CCOC(=O)c1nc(=O)c2cc3cc(OC)c(OC)cc3nc2[nH]1
219,O=P(O)(O)Oc1ccc(C(c2ccc(OP(=O)(O)O)cc2)c2ccccn2)cc1
220,Oc1ccc(CC2NCCc3cc(O)c(O)cc32)cc1
221,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ncccn2)CC1
222,O=C(NCCS(=O)(=O)O)c1cccs1
223,C[C@]12CC[C@H]3[C@@H](CCC4=C(O)C(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1
224,O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1CC1CC1
225,CN(C)C(=O)CCCCCCCCCCCCO
226,CN(C)CCN(Cc1cc2ccccc2o1)c1ccccn1
227,CC(C)(C)NCC(O)COc1ccccc1NC(=O)c1ccco1
228,Cc1cnn(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O
229,CC(=O)c1ccc2c(c1)[C@H](NC(=O)c1ccc(F)cc1)[C@@H](O)C(C)(C)O2
230,CNCCCC1(C)CN(c2ccccc2)c2ccccc21
231,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)N[C@H](C(=O)N[C@H](CCC(=O)O)C(N)=O)[C@@H](C)O
232,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C
233,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c1
234,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCC[C@H](CC(=O)N5CCCC(F)(F)C5)C(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1C
235,C/C(=N\NC(=O)c1ccncc1)C(=O)O
